XI,XD,XM,F(XI),F(XD),F(XM),Error
(-1+0j),(4.5+0j),(4.5+0j),0j,(12507+0j),(589.1875+0j),0.001
(-1+0j),(1.75+0j),(1.75+0j),0j,(589.1875+0j),(17.14453125+0j),(-2.75+0j)
(-1+0j),(0.375+0j),(0.375+0j),0j,(17.14453125+0j),(6.474853515625+0j),(-1.375+0j)
(-1+0j),(-0.3125+0j),(-0.3125+0j),0j,(6.474853515625+0j),(6.4297027587890625+0j),(-0.6875+0j)
(-1+0j),(-0.65625+0j),(-0.65625+0j),0j,(6.4297027587890625+0j),(4.184281349182129+0j),(-0.34375+0j)
(-1+0j),(-0.828125+0j),(-0.828125+0j),0j,(4.184281349182129+0j),(2.3375921845436096+0j),(-0.171875+0j)
(-1+0j),(-0.9140625+0j),(-0.9140625+0j),0j,(2.3375921845436096+0j),(1.2294003404676914+0j),(-0.0859375+0j)
(-1+0j),(-0.95703125+0j),(-0.95703125+0j),0j,(1.2294003404676914+0j),(0.6296848172787577+0j),(-0.04296875+0j)
(-1+0j),(-0.978515625+0j),(-0.978515625+0j),0j,(0.6296848172787577+0j),(0.31856329437869135+0j),(-0.021484375+0j)
(-1+0j),(-0.9892578125+0j),(-0.9892578125+0j),0j,(0.31856329437869135+0j),(0.16020842948728387+0j),(-0.0107421875+0j)
(-1+0j),(-0.99462890625+0j),(-0.99462890625+0j),0j,(0.16020842948728387+0j),(0.08033546294888083+0j),(-0.00537109375+0j)
(-1+0j),(-0.997314453125+0j),(-0.997314453125+0j),0j,(0.08033546294888083+0j),(0.040225486512273534+0j),(-0.002685546875+0j)
(-1+0j),(-0.9986572265625+0j),(-0.9986572265625+0j),0j,(0.040225486512273534+0j),(0.020127174820640192+0j),(-0.0013427734375+0j)
(-1+0j),(-0.99932861328125+0j),(-0.99932861328125+0j),0j,(0.020127174820640192+0j),(0.01006719439781012+0j),(-0.00067138671875+0j)
(-1+0j),(-0.999664306640625+0j),(-0.999664306640625+0j),0j,(0.01006719439781012+0j),(0.0050344988325559115+0j),(-0.000335693359375+0j)
(-1+0j),(-0.9998321533203125+0j),(-0.9998321533203125+0j),0j,(0.0050344988325559115+0j),(0.0025174748105216693+0j),(-0.0001678466796875+0j)
(-1+0j),(-0.9999160766601562+0j),(-0.9999160766601562+0j),0j,(0.0025174748105216693+0j),(0.001258793752048959+0j),(-8.392333984375e-05+0j)
