Xn,F(Xn),F'(Xn),Xn+1,Error
(-10+0j),(-572+0j),(7457+0j),(-9.92329354968486+0j),(0.07670645031513956+0j)
(-9.92329354968486+0j),(-555.5072298176214+0j),(7338.121357550758+0j),(-9.847591990286961+0j),(0.07570155939789913+0j)
(-9.847591990286961+0j),(-539.5278549653641+0j),(7221.734621201912+0j),(-9.772883089549818+0j),(0.07470890073714287+0j)
(-9.772883089549818+0j),(-524.0450496334886+0j),(7107.7842367115245+0j),(-9.699154761257745+0j),(0.07372832829207354+0j)
(-9.699154761257745+0j),(-509.0425586344017+0j),(6996.215944988636+0j),(-9.626395063352904+0j),(0.07275969790484105+0j)
(-9.626395063352904+0j),(-494.5046775940343+0j),(6886.976751120772+0j),(-9.554592196076843+0j),(0.07180286727606067+0j)
(-9.554592196076843+0j),(-480.4162338421625+0j),(6780.014894151015+0j),(-9.483734500136292+0j),(0.07085769594055158+0j)
(-9.483734500136292+0j),(-466.7625679767303+0j),(6675.279817586382+0j),(-9.413810454892971+0j),(0.06992404524332052+0j)
(-9.413810454892971+0j),(-453.52951607812537+0j),(6572.722140619679+0j),(-9.34480867657721+0j),(0.06900177831576038+0j)
(-9.34480867657721+0j),(-440.70339255022634+0j),(6472.293630047509+0j),(-9.276717916525122+0j),(0.06809076005208858+0j)
(-9.276717916525122+0j),(-428.2709735658709+0j),(6373.947172867427+0j),(-9.209527059439118+0j),(0.06719085708600403+0j)
(-9.209527059439118+0j),(-416.2194810951994+0j),(6277.6367495377435+0j),(-9.143225121671557+0j),(0.06630193776756066+0j)
(-9.143225121671557+0j),(-404.53656749610406+0j),(6183.317407883856+0j),(-9.077801249531287+0j),(0.06542387214027023+0j)
(-9.077801249531287+0j),(-393.21030064675676+0j),(6090.945237635334+0j),(-9.013244717612867+0j),(0.06455653191842003+0j)
(-9.013244717612867+0j),(-382.22914960091055+0j),(6000.4773455784525+0j),(-8.94954492714827+0j),(0.06369979046459662+0j)
(-8.94954492714827+0j),(-371.58197074736404+0j),(5911.871831309183+0j),(-8.886691404380834+0j),(0.06285352276743694+0j)
(-8.886691404380834+0j),(-361.2579944556422+0j),(5825.087763572018+0j),(-8.824673798961252+0j),(0.06201760541958201+0j)
(-8.824673798961252+0j),(-351.246812190597+0j),(5740.08515717041+0j),(-8.76348188236541+0j),(0.06119191659584189+0j)
(-8.76348188236541+0j),(-341.5383640792472+0j),(5656.824950434903+0j),(-8.703105546333836+0j),(0.060376336031573885+0j)
(-8.703105546333836+0j),(-332.1229269137773+0j),(5575.2689832354035+0j),(-8.64353480133257+0j),(0.059570745001265024+0j)
(-8.64353480133257+0j),(-322.9911025751938+0j),(5495.379975524345+0j),(-8.584759775035254+0j),(0.05877502629731701+0j)
(-8.584759775035254+0j),(-314.1338068626904+0j),(5417.121506397874+0j),(-8.526770710826211+0j),(0.057989064209042596+0j)
(-8.526770710826211+0j),(-305.5422587143113+0j),(5340.457993662425+0j),(-8.469557966324354+0j),(0.057212744501857316+0j)
(-8.469557966324354+0j),(-297.20796980501945+0j),(5265.354673894436+0j),(-8.413112011927668+0j),(0.056445954396686204+0j)
(-8.413112011927668+0j),(-289.12273450877115+0j),(5191.7775829812+0j),(-8.357423429378114+0j),(0.055688582549553445+0j)
(-8.357423429378114+0j),(-281.27862021168306+0j),(5119.693537131177+0j),(-8.302482910346717+0j),(0.05494051903139763+0j)
(-8.302482910346717+0j),(-273.66795796383576+0j),(5049.070114342353+0j),(-8.248281255038652+0j),(0.054201655308064645+0j)
(-8.248281255038652+0j),(-266.28333345770847+0j),(4979.875636317508+0j),(-8.194809370818142+0j),(0.05347188422051019+0j)
(-8.194809370818142+0j),(-259.11757832166666+0j),(4912.0791508155935+0j),(-8.142058270852939+0j),(0.052751099965203+0j)
(-8.142058270852939+0j),(-252.16376171733899+0j),(4845.650414428556+0j),(-8.09001907277821+0j),(0.05203919807472879+0j)
(-8.09001907277821+0j),(-245.41518223011997+0j),(4780.559875773327+0j),(-8.038682997379631+0j),(0.051336075398578984+0j)
(-8.038682997379631+0j),(-238.86536004242188+0j),(4716.778659088894+0j),(-7.988041367295475+0j),(0.05064163008415612+0j)
(-7.988041367295475+0j),(-232.50802937966674+0j),(4654.278548228614+0j),(-7.938085605737508+0j),(0.04995576155796666+0j)
(-7.938085605737508+0j),(-226.33713121936927+0j),(4593.031971038178+0j),(-7.888807235230496+0j),(0.04927837050701189+0j)
(-7.888807235230496+0j),(-220.34680625400873+0j),(4533.011984109875+0j),(-7.840197876370114+0j),(0.0486093588603822+0j)
(-7.840197876370114+0j),(-214.53138809871524+0j),(4474.1922579040265+0j),(-7.792249246599069+0j),(0.04794862977104497+0j)
(-7.792249246599069+0j),(-208.8853967351215+0j),(4416.547062228684+0j),(-7.744953159001236+0j),(0.047296087597833214+0j)
(-7.744953159001236+0j),(-203.40353218303704+0j),(4360.051252068903+0j),(-7.698301521113604+0j),(0.04665163788763227+0j)
(-7.698301521113604+0j),(-198.08066839190116+0j),(4304.680253757111+0j),(-7.652286333755839+0j),(0.04601518735776455+0j)
(-7.652286333755839+0j),(-192.91184734425752+0j),(4250.410051476323+0j),(-7.606899689877268+0j),(0.0453866438785715+0j)
(-7.606899689877268+0j),(-187.89227336377152+0j),(4197.2171740880995+0j),(-7.562133773421063+0j),(0.0447659164562042+0j)
(-7.562133773421063+0j),(-183.01730762057497+0j),(4145.078682277407+0j),(-7.5179808582054655+0j),(0.04415291521559794+0j)
(-7.5179808582054655+0j),(-178.28246282698532+0j),(4093.9721560066973+0j),(-7.474433306821803+0j),(0.04354755138366251+0j)
(-7.474433306821803+0j),(-173.68339811688963+0j),(4043.875682271701+0j),(-7.431483569549138+0j),(0.04294973727266527+0j)
(-7.431483569549138+0j),(-169.21591410232543+0j),(3994.7678431516374+0j),(-7.389124183285324+0j),(0.04235938626381408+0j)
(-7.389124183285324+0j),(-164.875948101021+0j),(3946.627704146711+0j),(-7.347347770494276+0j),(0.041776412791048045+0j)
(-7.347347770494276+0j),(-160.6595695288785+0j),(3899.4348027959295+0j),(-7.306147038169251+0j),(0.041200732325024525+0j)
(-7.306147038169251+0j),(-156.56297545159936+0j),(3853.169137568463+0j),(-7.2655147768119415+0j),(0.040632261357309574+0j)
(-7.2655147768119415+0j),(-152.5824862898567+0j),(3807.811157021922+0j),(-7.225443859427164+0j),(0.04007091738477708+0j)
(-7.225443859427164+0j),(-148.71454167261902+0j),(3763.341749221093+0j),(-7.18592724053296+0j),(0.039516618894204214+0j)
(-7.18592724053296+0j),(-144.95569643342196+0j),(3719.7422314108157+0j),(-7.146957955185883+0j),(0.03896928534707733+0j)
